id;is_misinfo;Tweets,,,,,,,,,,,,,
1,34361E+18;0;Happy to be getting my first dose of vaccine! It's time that COVID-19 F**ked off - vaccines in arms is his that's going to happen #upyourscorona https://t.co/X8gL1RQJNo,,,,,,,,,,,,
1,"38757E+18;0;""2nd shot done", ready to run (in 10 days of course). @Walgreens was awesome, @Pfizer is great! ,,,,,,,,,,
If you’re hesitant, hit me up. My dogs need vax to go to boarding, kids need vax to go to school," plus this can keep me from DYING or going to the hospital…#GetVaccinated #vaccinated https://t.co/ClN6aICKaV""",,,,,,,,,,
1,34685E+18;1;I wonder are the Garda we warned that they would be one of the first in line to get the untested vaccine still smiling now..<U+0001F1EE><U+0001F1EA><U+0001F98A>  https://t.co/k5KTnA9nKo,,,,,,,,,,,,
1,"3466E+18;0;""if you think watch is better than &amp;burn do not worry about what's in the vaccine.""",,,,,,,,,,,,
1,34409E+18;0;I’m so sore from legs yesterday and I got the vaccine today so now my arm’s sore and I should be grateful for all this soreness but wow this is bad,,,,,,,,,,,,
1,3422E+18;0;if you eating marshmallows, you don’t need to worry about what’s in the vaccine :/,,,,,,,,,,,
1,34224E+18;0;If u go swimming at devils pool dont worry about whats in the vaccine,,,,,,,,,,,,
1,38579E+18;1;I’m not understanding why so many of y’all flexing about a dangerous vaccine that was made in only 3 months or so. I’m sorry I’m not putting that in my body,,,,,,,,,,,,
1,37217E+18;1;Depopulation Trudeau -  https://t.co/vOA6SAmj8l,,,,,,,,,,,,
1,34658E+18;0;I got my first dose of the COVID vaccine this morning AND my mom invited me home for biscuits and gravy for supper. Today is a VERY good day. <U+0001F489><U+0001F9EC>,,,,,,,,,,,,
1,34686E+18;0;If you lips your dog you don't need to worry about what’s in the vaccine,,,,,,,,,,,,
1,"38689E+18;1;""If I understand right", (&amp; Bill Gates apparently predicted this for years,") a genetically-modified virus was released from a communist lab so everyone had to get a vaccine passport with untested vaccines even if they weren't in a high risk demographic or else they couldn't travel?""",,,,,,,,,,
1,34209E+18;1;Merry Christmas to my bloody  awesome, brave and honest Twitter community who keep me sane.  I love you all too bits!  As to Big Pharma, our Government and Bill Gates - you can stick your poison vaccine up your ass and I dare you to take the jab.,,,,,,,,,,
1,35929E+18;0;my friend just got her first vaccine dose im so jealous <U+0001F62D><U+0001F62D>,,,,,,,,,,,,
1,38602E+18;1;In the grand scheme of things very few people are getting the gene therapy/vaccine shots. #COVID19,,,,,,,,,,,,
1,38551E+18;1;PC Radio: CONFIRMED! Medical Expert on Depopulation Plan, ‘Vaccine’ Tragedies, Catastrophic Fallout https://t.co/Viduxuk4pk via @redvoicemedias,,,,,,,,,,
1,"38734E+18;0;""Q.) Is it necessary to take 2nd dose of vaccination?",,,,,,,,,,,,
A.) Yes. It is recommended that both doses of vaccine should be taken for realizing the full benefit of vaccination. Both doses must be of the same vaccine type.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"#VaccineFor18Plus #VaccineRegistration #Verified #VaccinesWork""",,,,,,,,,,,,,
1,37227E+18;1;<U+0001F914>Doctor Warns Experimental COVID “Vaccine” Actually “Dangerous Gene Therapy” https://t.co/2LlQw1MOev,,,,,,,,,,,,
1,"3445E+18;1;""Gulf War Vaccine Syndrome- How the Experimental Anthrax",,,,,,,,,,,,
Vaccine Killed 35,000 Military Men and Women,,,,,,,,,,,,
Eve of Battle - a Scott Miller and Co. Movie,,,,,,,,,,,,,
"https://t.co/073GH2jzLq""",,,,,,,,,,,,,
1,37305E+18;0;Got lucky and got called saying a site needed people to #vaccinated...so I just got dose 1 of the Pfizer-BioNTech vaccine. It didn’t hurt at all! Woohoo! #GetVaccinated #COVID19 #FauciOuchie https://t.co/6DeAIF7sLD,,,,,,,,,,,,
1,36077E+18;1;Why do people keep saying it wrong ... it’s not vaccine ... it’s pronounced “experimental injection”,,,,,,,,,,,,
1,36032E+18;0;Just got the covid vaccine.,,,,,,,,,,,,
1,38711E+18;0;Got my first vaccine shot today #Pfizer cannot imagine the situation we were an year ago! Thank you #HangerstownMASSVAX #GetVaccinated #SafeAndEffective,,,,,,,,,,,,
1,3456E+18;1;Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think https://t.co/1dZekJBnUP,,,,,,,,,,,
1,35919E+18;1;#VAERS #VACCINE #AdverseEvent Reporting System - over 500 deaths reported as of 1/29/21 #sideeffects #adversereaction #pfizer #moderna #mRNA #EXPERIMENTAL https://t.co/RPNE6UkNpL,,,,,,,,,,,,
1,34579E+18;1;NUMBER 12 Second Public letter too EMA. I do NOT need to remind you of this disaster, where thousands DIED from RUSHED vaccine NOT fake virus. As happened then, you must NOT put PROFIT before Health, particularly recent USA, Australia victims. More,,,,,,,,
1,3466E+18;0;If you ate the food at band camp, don't worry about what's in the vaccine,,,,,,,,,,,
1,34362E+18;0;Today I got my first dose of the COVID vaccine. I will admit it was a difficult decision given that pregnant women were not in the clinical trials, but ultimately was an easy decision because vaccines are safe! Happy to play my part in this amazing feat of science and medicine!,,,,,,,,,,,
1,34214E+18;1;110000 VACCINES ARE ROLLING OUT WITH 3000 ADVERT REACTIONS AGAINST THE VACCINES THAT IS 3 PERCENT IN 110000 VACINATED WITH THIS HIV DEADLY VACCINE.. PEOPLE DO NOT TAKE THIS VACCINE.,,,,,,,,,,,,
1,36026E+18;0;Take whatever COVID vaccine you can get. All of them stop death and hospitalization. https://t.co/sqrgOa6LVO via @usatoday,,,,,,,,,,,,
1,3611E+18;0;All I want is a job and a vaccine damnit,,,,,,,,,,,,
1,34219E+18;0;If you licked the same salt blocks as the cows in your grandpas pasture when you were little, you don’t have to worry about what’s in the vaccine.,,,,,,,,,,,
1,"34502E+18;1;""The nurses were really trying to sell the vaccine to me lol I work with kids that rushed vaccine isn’t going to stop shii &amp; idc who’s a dr in your family", did they personally make the vaccine," no?? Okay then.""",,,,,,,,,,
1,39045E+18;0;So excited my Gen Z kids have already booked appointments for Pfizer vaccine next week!!,,,,,,,,,,,,
1,35843E+18;1;There is NO VACCINE that is IN DEVELOPMENT or contemplated that is a vaccine against = SARS-CoV-2 virus. That doesn’t exist. That hasn’t been developed. It isn’t even, in 2021, in contemplation. It’s Gene Therapy, Not a Vaccine Dr. David Martin https://t.co/zko8hGYjnn,,,,,,,,,
1,35933E+18;1;Many Dying in Israel Following the Experimental Pfizer COVID mRNA Injections https://t.co/jjR4qVXtwt via @wordpressdotcom,,,,,,,,,,,,
1,34662E+18;0;if you’ve ever funnelled out of a random funnel at a bush party, you don’t need to worry about whats in the covid vaccine,,,,,,,,,,,
1,34326E+18;0;Do You Trust The Covid Vaccine,,,,,,,,,,,,
1,34409E+18;0;I am grateful Trump will be gone soon, grateful a vaccine will eventually make it to me and my loved ones, but I still want an outdoor firepit so I can socialize outdoors until then.  I'm obsessed with this one:  https://t.co/ecdRbPSKtW,,,,,,,,,,
1,35932E+18;0;Got my first shot of COVID-19 vaccine <U+0001F60A> https://t.co/kxCqXWQTeo,,,,,,,,,,,,
1,35932E+18;0;My grandpa got his second vaccine shot today! <U+0001F389>,,,,,,,,,,,,
1,37242E+18;1;#Doctor Warns Experimental #COVID “#Vaccine” Actually “Dangerous Gene Therapy”: https://t.co/jGb83RIQuF.,,,,,,,,,,,,
1,3469E+18;0;Well they cancelled my vaccine. <U+0001F610>,,,,,,,,,,,,
1,35922E+18;0;Just got my appointment for my second vaccine...,,,,,,,,,,,,
1,34293E+18;0;if you let ur dog lick ur mouth, dont worry about whats in the vaccine,,,,,,,,,,,
1,38763E+18;0;Effects of #Covid on #vaccinated and not vaccinated people. Vaccine ke bad recovery aasan hai, bina vaccine ke ghatak hai. https://t.co/kVFqdf97qj,,,,,,,,,,,
1,34652E+18;0;if u dated a skater boy don’t worry about what’s in the vaccine,,,,,,,,,,,,
1,"3439E+18;1;""<U+26A0><U+FE0F> WARNING <U+26A0><U+FE0F> Do Not Take the Experimental COVID-19 Vaccine ",,,,,,,,,,,,
https://t.co/fg9GBDruDQ ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"#NOISundays #Farrakhan""",,,,,,,,,,,,,
1,34689E+18;0;if you drink from the hose outside dont worry about whats in the vaccine,,,,,,,,,,,,
1,3585E+18;1;Local Talk Radio Reports “Many Dying” in Israel Following Pfizer Experimental mRNA Injections https://t.co/ZjVU1wRX0x noway i am getting any f'ing vaccine they have no clue what they are , their are so many different ones and too many horror stories coming out,,,,,,,,,,,
1,"37161E+18;1;""PSA:",,,,,,,,,,,,
,,,,,,,,,,,,,
Being forced to cover your face, pressured to inject yourself with a rushed vaccine that has zero liability, for a virus with a 98% survival rate, and requires a test just to see if you even have it... Is not science &amp; health, it's medical fascism.,,,,,,,,,
,,,,,,,,,,,,,
"Pass it on.""",,,,,,,,,,,,,
1,34688E+18;0;If you swam in a public pool as a kid don’t worry about what’s in the vaccine,,,,,,,,,,,,
1,"34629E+18;0;""Scheduled to get my COVID vaccine on Friday! ",,,,,,,,,,,,
"I ain’t eennn gon lieeee Im a bit nervous about the unknown <U+0001F629><U+0001F62D> but I’ve chosen to trust science &amp; God so we move in Jesus name! <U+0001F64F><U+0001F3FE><U+0001F64C><U+0001F3FE>""",,,,,,,,,,,,,
1,"3441E+18;0;""Grateful for the opportunity to receive a first dose of the covid vaccine. I have full confidence in it and all the scientists and infectious disease experts who developed it. I’m urging all who can", to get it when it becomes available to them.,,,,,,,,,,,
,,,,,,,,,,,,,
"https://t.co/1RLNYYicKv https://t.co/u17WanBOrv""",,,,,,,,,,,,,
1,35932E+18;0;My second vaccine was not as bad as my first!!! Easy peasy!! <U+0001F34B>,,,,,,,,,,,,
1,"38783E+18;0;""Finished getting past some mild side-effects from my second covid vaccine shot.",,,,,,,,,,,,
,,,,,,,,,,,,,
